"data.list.id","title","date.created","rw.url"
"628287","UK Aid Syria Response - 7th January 2014",2014-01-09,"http://reliefweb.int/node/628287"
"628282","Germany’s contribution to the OPCW-UN mission in Syria",2014-01-09,"http://reliefweb.int/node/628282"
"628183","Car bomb kills 18 in Syria's Hama province: NGO",2014-01-09,"http://reliefweb.int/node/628183"
"628161","IOM regional response to the Syrian crisis - Map, 09 January 2014",2014-01-09,"http://reliefweb.int/node/628161"
"628159","Regional Response to the Syria Humanitarian Crisis, 3 December 2013 ‐ 6 January 2014",2014-01-09,"http://reliefweb.int/node/628159"
"628157","Syria Crisis: IOM Regional Response - Transport Assistance for Refugees and Stranded Migrants (from January to 31 December 2013)",2014-01-09,"http://reliefweb.int/node/628157"
"628156","Syria Crisis: IOM Regional Response – NFI and Shelter Assistance (from January to 31 December 2013)",2014-01-09,"http://reliefweb.int/node/628156"
"628154","Syria Crisis: IOM Psychosocial Support Activities, Direct Support and Capacity Building - Map (as of 31 December 2013)",2014-01-09,"http://reliefweb.int/node/628154"
"628153","Syria Crisis: IOM Presence - National and International Staff and Funds by country as of 31 December 2013",2014-01-09,"http://reliefweb.int/node/628153"
"628151","Syria Crisis: IOM Health Assistance to Syrian Refugees and Vulnerable Host Communities (01 January to 31 December 2013)",2014-01-09,"http://reliefweb.int/node/628151"
"628097","Qaeda group loses HQ in Syria's Aleppo, journalists freed",2014-01-09,"http://reliefweb.int/node/628097"
"628070","Partners discuss UNDP’s US$166 million development response to crisis in Syria",2014-01-08,"http://reliefweb.int/node/628070"
"627992","Chemical watchdog urges Syria to speed up weapons handover",2014-01-08,"http://reliefweb.int/node/627992"
"627970","Resilience-based Development Response to the Syria crisis",2014-01-08,"http://reliefweb.int/node/627970"
"627961","Three members of People In Need killed in Aleppo",2014-01-08,"http://reliefweb.int/node/627961"
"627795","EU supports Champion the Children of Syria - No Lost Generation",2014-01-08,"http://reliefweb.int/node/627795"
"627784","Syrian opposition postpones vote on peace talks",2014-01-08,"http://reliefweb.int/node/627784"
"627740","Syrian refugees in the region (as at 7 January 2014)",2014-01-07,"http://reliefweb.int/node/627740"
"627735","6 Jan 2014 - Syria Crisis – Internal displacement and Syrian refugees in neighbouring countries",2014-01-07,"http://reliefweb.int/node/627735"
"627717","Statement by the Special Coordinator, Ms Sigrid Kaag - first removal of chemical weapons materials from Syria",2014-01-07,"http://reliefweb.int/node/627717"
"627684","No Lost Generation - Protecting the futures of children affected by the crisis in Syria (Strategic Overview)",2014-01-07,"http://reliefweb.int/node/627684"
"627683","WHO delivers more than 125 tons of medical supplies in Aleppo",2014-01-07,"http://reliefweb.int/node/627683"
"627677","First chemical arms materials leave Syria, joint OPCW-UN mission confirms",2014-01-07,"http://reliefweb.int/node/627677"
"627667","80.000 forced to conflict area of rural Damascus",2014-01-07,"http://reliefweb.int/node/627667"
"627633","34 jihadists dead after rebel clashes in Syria's Idlib: NGO",2014-01-07,"http://reliefweb.int/node/627633"
"627561","Global champions and $1 billion investment needed to prevent a lost generation of Syrian children",2014-01-07,"http://reliefweb.int/node/627561"
"627557","Press Conference by Security Council President on Work Programme for January",2014-01-07,"http://reliefweb.int/node/627557"
"627551","UNHCR Syria Update Issue 19 | December 2013",2014-01-07,"http://reliefweb.int/node/627551"
"627536","Invitations to Syria peace conference being sent out today, UN spokesperson confirms",2014-01-06,"http://reliefweb.int/node/627536"
"627535","Humanity is fundamental for health volunteers in Syria",2014-01-06,"http://reliefweb.int/node/627535"
"627522","Coping with Conflict: Helping Syrians Overcome the Trauma of War",2014-01-06,"http://reliefweb.int/node/627522"
"627516","Syria rebels besiege Qaeda-linked jihadists",2014-01-06,"http://reliefweb.int/node/627516"
"627338","UK provides essential healthcare for Syrian refugees",2014-01-06,"http://reliefweb.int/node/627338"
"627318","Syria rebels, regime agree truce in Damascus district: NGO",2014-01-06,"http://reliefweb.int/node/627318"
"627317","Syria opposition re-elects Jarba as leader",2014-01-06,"http://reliefweb.int/node/627317"
"627749","Syria Crisis: Internal displacement and Syrian refugees in neighbouring countries (as of 6 Jan 2014)",2014-01-06,"http://reliefweb.int/node/627749"
"627305","Al Qaeda affiliate pull out of northern Syria strongholds",2014-01-05,"http://reliefweb.int/node/627305"
