"","data.list.id","title","date.created","rw.url"
"360","609759","Paris maintiendra plus de 2.000 soldats au Mali jusqu'aux législatives (ministre)",2013-10-17,"http://reliefweb.int/node/609759"
"361","609599","L'UE fait le bilan de l'observation des élections présidentielles et lance une mission d'observation pour les législatives",2013-10-17,"http://reliefweb.int/node/609599"
"362","609546","Pour le chef de la MINUSMA, en dépit de progrès, le «vrai travail» ne fait que commencer",2013-10-17,"http://reliefweb.int/node/609546"
"363","609518","Malgré la bonne tenue du scrutin présidentiel et le déploiement de la Minusma, « le vrai travail ne fait que commencer au Mali », estime le représentant spécial",2013-10-16,"http://reliefweb.int/node/609518"
"364","609463","Despite recent progress, urgent challenges remain to restore stability in Mali – UN envoy",2013-10-16,"http://reliefweb.int/node/609463"
"365","609457","For Many Malians, Especially Those Uprooted by Conflict, Life Is Fragile",2013-10-16,"http://reliefweb.int/node/609457"
"366","609456","Mali : l'ONU réclame des troupes et des hélicoptères pour la Minusma",2013-10-16,"http://reliefweb.int/node/609456"
"367","630741","Point sur la situation alimentaire au Sahel - Suivi de campagne n°150 - début octobre 2013",2013-10-16,"http://reliefweb.int/node/630741"
"368","609220","The Mali presidential elections: outcomes and challenges",2013-10-15,"http://reliefweb.int/node/609220"
"369","609136","A Gao, où les islamistes rôdent encore, la colère gronde contre l'Etat malien",2013-10-15,"http://reliefweb.int/node/609136"
"370","608944","Time to prevent child malnutrition in Sahel",2013-10-14,"http://reliefweb.int/node/608944"
"371","608907","EFSA Nord Mali : Prévalence de l'Insécurité Alimentaire Sévère Selon le Zones de Moyens d`Existence (septembre 2013)",2013-10-14,"http://reliefweb.int/node/608907"
"372","608904","Internal displacement in Mali since March 2013 (As of 25th September 2013)",2013-10-14,"http://reliefweb.int/node/608904"
"373","608881","EFSA Nord Mali : Consommation Alimentaire Pauvre Selon le Zones de Moyens d'Existence (septembre 2013)",2013-10-14,"http://reliefweb.int/node/608881"
"374","608879","EFSA Nord Mali : Prévalence de l'Insécurité Alimentaire Sévère (septembre 2013)",2013-10-14,"http://reliefweb.int/node/608879"
"375","608872","EFSA Nord Mali : Synthèse du Score de Consommation Alimentaire et Stratégie d'Urgences (septembre 2013)",2013-10-14,"http://reliefweb.int/node/608872"
"376","608852","Les progrès timides du Mali pour protéger les anciens enfants-soldats",2013-10-14,"http://reliefweb.int/node/608852"
"377","608746","Vers la levée de mandats d'arrêt contre certains chefs de groupes armés (ministre)",2013-10-14,"http://reliefweb.int/node/608746"
"378","608591","Make No Mistake: Mali’s Displacement Crisis Isn’t Over",2013-10-11,"http://reliefweb.int/node/608591"
"379","608523","Sahel Crisis 2013: Funding status as of 11 October 2013",2013-10-11,"http://reliefweb.int/node/608523"
"380","608503","Le Mali renoue avec l’espoir - Bulletin du terrain, août 2013",2013-10-11,"http://reliefweb.int/node/608503"
"381","608486","Malgré un lent retour à la stabilité, pas de solutions durables en vue pour bon nombre de PDI",2013-10-11,"http://reliefweb.int/node/608486"
"382","608471","Stability slowly returning but durable solutions a remote possibility for many IDPs",2013-10-11,"http://reliefweb.int/node/608471"
"383","608629","ALIMA Rapport annuel 2012",2013-10-11,"http://reliefweb.int/node/608629"
